x,y,z
-150,-138,-138
-150,-138,-115
-150,-138,-92
-150,-138,-69
-150,-138,-46
-150,-138,-23
-150,-138,0
-150,-138,23
-150,-138,46
-150,-138,69
-150,-138,92
-150,-138,115
-150,-138,138
-150,-115,-138
-150,-115,-115
-150,-115,-92
-150,-115,-69
-150,-115,-46
-150,-115,-23
-150,-115,0
-150,-115,23
-150,-115,46
-150,-115,69
-150,-115,92
-150,-115,115
-150,-115,138
-150,-92,-138
-150,-92,-115
-150,-92,-92
-150,-92,-69
-150,-92,-46
-150,-92,-23
-150,-92,0
-150,-92,23
-150,-92,46
-150,-92,69
-150,-92,92
-150,-92,115
-150,-92,138
-150,-69,-138
-150,-69,-115
-150,-69,-92
-150,-69,-69
-150,-69,-46
-150,-69,-23
-150,-69,0
-150,-69,23
-150,-69,46
-150,-69,69
-150,-69,92
-150,-69,115
-150,-69,138
-150,-46,-138
-150,-46,-115
-150,-46,-92
-150,-46,-69
-150,-46,-46
-150,-46,-23
-150,-46,0
-150,-46,23
-150,-46,46
-150,-46,69
-150,-46,92
-150,-46,115
-150,-46,138
-150,-23,-138
-150,-23,-115
-150,-23,-92
-150,-23,-69
-150,-23,-46
-150,-23,-23
-150,-23,0
-150,-23,23
-150,-23,46
-150,-23,69
-150,-23,92
-150,-23,115
-150,-23,138
-150,0,-138
-150,0,-115
-150,0,-92
-150,0,-69
-150,0,-46
-150,0,-23
-150,0,0
-150,0,23
-150,0,46
-150,0,69
-150,0,92
-150,0,115
-150,0,138
-150,23,-138
-150,23,-115
-150,23,-92
-150,23,-69
-150,23,-46
-150,23,-23
-150,23,0
-150,23,23
-150,23,46
-150,23,69
-150,23,92
-150,23,115
-150,23,138
-150,46,-138
-150,46,-115
-150,46,-92
-150,46,-69
-150,46,-46
-150,46,-23
-150,46,0
-150,46,23
-150,46,46
-150,46,69
-150,46,92
-150,46,115
-150,46,138
-150,69,-138
-150,69,-115
-150,69,-92
-150,69,-69
-150,69,-46
-150,69,-23
-150,69,0
-150,69,23
-150,69,46
-150,69,69
-150,69,92
-150,69,115
-150,69,138
-150,92,-138
-150,92,-115
-150,92,-92
-150,92,-69
-150,92,-46
-150,92,-23
-150,92,0
-150,92,23
-150,92,46
-150,92,69
-150,92,92
-150,92,115
-150,92,138
-150,115,-138
-150,115,-115
-150,115,-92
-150,115,-69
-150,115,-46
-150,115,-23
-150,115,0
-150,115,23
-150,115,46
-150,115,69
-150,115,92
-150,115,115
-150,115,138
-150,138,-138
-150,138,-115
-150,138,-92
-150,138,-69
-150,138,-46
-150,138,-23
-150,138,0
-150,138,23
-150,138,46
-150,138,69
-150,138,92
-150,138,115
-150,138,138
-149,-138,-138
-149,-138,-115
-149,-138,-92
-149,-138,-69
-149,-138,-46
-149,-138,-23
-149,-138,0
-149,-138,23
-149,-138,46
-149,-138,69
-149,-138,92
-149,-138,115
-149,-138,138
-149,-115,-138
-149,-115,-115
-149,-115,-92
-149,-115,-69
-149,-115,-46
-149,-115,-23
-149,-115,0
-149,-115,23
-149,-115,46
-149,-115,69
-149,-115,92
-149,-115,115
-149,-115,138
-149,-92,-138
-149,-92,-115
-149,-92,-92
-149,-92,-69
-149,-92,-46
-149,-92,-23
-149,-92,0
-149,-92,23
-149,-92,46
-149,-92,69
-149,-92,92
-149,-92,115
-149,-92,138
-149,-69,-138
-149,-69,-115
-149,-69,-92
-149,-69,-69
-149,-69,-46
-149,-69,-23
-149,-69,0
-149,-69,23
-149,-69,46
-149,-69,69
-149,-69,92
-149,-69,115
-149,-69,138
-149,-46,-138
-149,-46,-115
-149,-46,-92
-149,-46,-69
-149,-46,-46
-149,-46,-23
-149,-46,0
-149,-46,23
-149,-46,46
-149,-46,69
-149,-46,92
-149,-46,115
-149,-46,138
-149,-23,-138
-149,-23,-115
-149,-23,-92
-149,-23,-69
-149,-23,-46
